id_batiments,phase,nb_infra,nb_ouvriers,duree_heures,cout_euros,nb_maisons,hopital_ok_marge_20pct
E000085,0,3,12,9.35,18483.26,1,True
E000106,1,2,8,9.54,8436.52,1,
E000109,1,1,4,2.81,2813.5,6,
E000368,1,1,4,3.9,3898.06,8,
E000316,1,2,8,4.98,5710.15,5,
E000268,1,1,4,7.34,7339.69,6,
E000107,1,1,4,2.55,2551.86,2,
E000197,1,2,8,3.33,5640.69,4,
E000376,1,2,8,7.33,9916.24,8,
E000112,1,2,8,6.46,10442.53,6,
E000371,1,2,8,7.37,11163.78,6,
E000227,1,1,4,3.8,3795.25,2,
E000302,1,2,8,5.99,5481.82,7,
E000381,1,2,8,7.44,10514.0,8,
E000367,1,2,8,3.57,6288.97,3,
E000378,1,2,8,6.74,10506.29,5,
E000359,1,2,8,5.72,8465.1,4,
E000228,1,3,12,10.08,9298.06,8,
E000160,1,4,16,6.58,18968.11,8,
E000364,1,3,12,5.49,12359.28,5,
E000274,1,2,8,7.26,10580.31,4,
E000317,1,3,12,2.58,5410.17,2,
E000365,1,1,4,12.39,8920.23,8,
E000127,1,3,12,7.32,14634.41,8,
E000346,1,2,8,11.78,12078.22,7,
E000098,1,2,8,7.67,12944.18,7,
E000111,1,3,12,6.95,13420.37,5,
E000315,1,3,12,10.35,12929.35,4,
E000128,1,3,12,6.74,16148.23,6,
E000266,1,3,12,9.65,19331.49,8,
E000222,1,2,8,8.54,13689.65,6,
E000358,1,3,12,6.07,8697.86,4,
E000373,1,3,12,12.47,19402.41,8,
E000293,1,2,8,7.37,11380.54,4,
E000260,1,3,12,10.36,14540.1,7,
E000370,1,3,12,3.03,7300.0,2,
E000145,1,2,8,6.38,8015.06,3,
E000193,1,2,8,12.02,12833.94,4,
E000327,1,3,12,4.45,8922.75,3,
E000184,1,2,8,18.49,26292.08,6,
E000129,1,2,8,21.06,25294.29,5,
E000380,1,2,8,12.24,11723.02,4,
E000252,1,2,8,17.94,18187.62,5,
E000377,1,3,12,10.14,20433.65,6,
E000372,1,2,8,11.09,14049.32,5,
E000303,1,3,12,10.05,15468.22,4,
E000374,1,2,8,13.86,18990.69,7,
E000369,1,2,8,10.31,11436.89,3,
E000144,1,3,12,15.67,24451.72,6,
E000322,1,3,12,15.7,23170.68,5,
E000229,1,1,4,4.75,3419.72,1,
E000226,1,2,8,8.61,8977.48,2,
E000301,1,4,16,7.89,17680.36,3,
E000379,1,2,8,10.96,11141.12,2,
E000363,1,3,12,6.14,9260.72,2,
E000175,1,2,8,17.42,24924.79,3,
E000326,1,2,8,11.96,16566.78,3,
E000067,1,3,12,15.23,21125.1,4,
E000267,1,3,12,12.22,21010.68,4,
E000366,1,2,8,12.9,15133.07,2,
E000110,1,2,8,18.53,26386.03,3,
E000275,1,3,12,5.11,8201.28,1,
E000375,1,2,8,6.11,9250.1,1,
E000146,2,6,24,5.39,25161.74,2,
E000188,2,3,12,12.83,16186.9,2,
E000108,2,3,12,37.66,38310.21,6,
E000161,2,3,12,12.6,23928.05,2,
E000361,2,2,8,8.26,12188.74,1,
E000325,2,3,12,32.23,34976.41,3,
E000198,2,3,12,13.83,21137.25,2,
E000185,2,3,12,8.66,15913.71,1,
E000003,2,3,12,15.03,27270.69,1,
E000177,3,2,8,22.89,22425.6,2,
E000174,3,3,12,17.06,28581.94,1,
E000178,3,5,20,8.5,22797.33,1,
E000360,3,4,16,38.17,40426.64,2,
E000183,3,3,12,25.57,26817.53,1,
E000257,4,3,12,18.11,24099.74,1,
E000176,4,3,12,43.26,49285.21,2,
